FF0D  10 FB     BPL $FF0A                       A:00 X:00 Y:00 P:26 SP:FD CYC:190 SL:4
FF0A  AD 02 20  LDA $2002 = 00                  A:00 X:00 Y:00 P:26 SP:FD CYC:202 SL:4
FF0D  10 FB     BPL $FF0A                       A:00 X:00 Y:00 P:26 SP:FD CYC:220 SL:4
FF0A  AD 02 20  LDA $2002 = 00                  A:00 X:00 Y:00 P:26 SP:FD CYC:232 SL:4
FF0D  10 FB     BPL $FF0A                       A:00 X:00 Y:00 P:26 SP:FD CYC:250 SL:4
FF0A  AD 02 20  LDA $2002 = 00                  A:00 X:00 Y:00 P:26 SP:FD CYC:262 SL:4
FF0D  10 FB     BPL $FF0A                       A:00 X:00 Y:00 P:26 SP:FD CYC:280 SL:4
FF0A  AD 02 20  LDA $2002 = 00                  A:00 X:00 Y:00 P:26 SP:FD CYC:292 SL:4
FF0D  10 FB     BPL $FF0A                       A:00 X:00 Y:00 P:26 SP:FD CYC:310 SL:4
FF0A  AD 02 20  LDA $2002 = 00                  A:00 X:00 Y:00 P:26 SP:FD CYC:322 SL:4
FF0D  10 FB     BPL $FF0A                       A:00 X:00 Y:00 P:26 SP:FD CYC:340 SL:4
FF0A  AD 02 20  LDA $2002 = 00                  A:00 X:00 Y:00 P:26 SP:FD CYC:011 SL:5
FF0D  10 FB     BPL $FF0A                       A:00 X:00 Y:00 P:26 SP:FD CYC:029 SL:5
FF0A  AD 02 20  LDA $2002 = 00                  A:00 X:00 Y:00 P:26 SP:FD CYC:041 SL:5
FF0D  10 FB     BPL $FF0A                       A:00 X:00 Y:00 P:26 SP:FD CYC:059 SL:5
FF0A  AD 02 20  LDA $2002 = 00                  A:00 X:00 Y:00 P:26 SP:FD CYC:071 SL:5
FF0D  10 FB     BPL $FF0A                       A:00 X:00 Y:00 P:26 SP:FD CYC:089 SL:5
FF0A  AD 02 20  LDA $2002 = 00                  A:00 X:00 Y:00 P:26 SP:FD CYC:101 SL:5
FF0D  10 FB     BPL $FF0A                       A:00 X:00 Y:00 P:26 SP:FD CYC:119 SL:5
FF0A  AD 02 20  LDA $2002 = 00                  A:00 X:00 Y:00 P:26 SP:FD CYC:131 SL:5
FF0D  10 FB     BPL $FF0A                       A:00 X:00 Y:00 P:26 SP:FD CYC:149 SL:5
FF0A  AD 02 20  LDA $2002 = 00                  A:00 X:00 Y:00 P:26 SP:FD CYC:161 SL:5
FF0D  10 FB     BPL $FF0A                       A:00 X:00 Y:00 P:26 SP:FD CYC:179 SL:5
FF0A  AD 02 20  LDA $2002 = 00                  A:00 X:00 Y:00 P:26 SP:FD CYC:191 SL:5
FF0D  10 FB     BPL $FF0A                       A:00 X:00 Y:00 P:26 SP:FD CYC:209 SL:5
FF0A  AD 02 20  LDA $2002 = 00                  A:00 X:00 Y:00 P:26 SP:FD CYC:221 SL:5
